Class,Mean_Hue,Mean_Saturation,Mean_Value
MENTAH,15.631775693930976,74.51208087493255,61.97786877260646
MENTAH,18.013322825283268,77.88805382711176,66.79996637132551
MENTAH,17.222084765492298,72.4043599873104,60.73893141998561
MENTAH,17.645407796856578,78.18678855213724,64.61745353185388
MENTAH,17.08521153279311,75.80930262185008,62.92500852426011
MENTAH,18.049350938480448,77.36172619701844,66.33260694980116
MENTAH,17.988516447762834,77.13619847350172,60.81356990392878
MENTAH,16.31786325837813,70.65386367553606,55.44279191063328
MENTAH,18.864751997112368,82.89601292565096,69.57050078310785
MENTAH,17.786843226054636,78.56772633940169,66.89389419426071
MENTAH,17.127591468745628,71.95090197912711,61.08255839586539
MENTAH,17.38261469345137,71.97356964164385,57.17581723611639
MENTAH,16.275462245958312,72.59277470599109,55.44449504531284
MENTAH,15.241247645680541,71.57699030544953,58.043341959593135
MENTAH,17.808973985082233,77.12062140294958,61.32551495273876
MENTAH,17.041000598259426,71.68611910108712,60.585909866409544
MENTAH,17.320275186846786,76.83689437161527,65.74900862542715
MENTAH,15.947670566385565,70.44065975275274,56.59220923217961
MENTAH,18.506190392628046,80.88286058556983,71.08689593283508
MENTAH,19.685584851671628,84.71462353994724,70.12653452294118
MENTAH,18.243472852261146,82.57162517360764,73.15422416118783
MENTAH,16.29217713350053,81.08914237200496,72.64020534411782
MENTAH,17.71239536704902,80.31365842509142,70.31618978687476
MENTAH,18.3004342688995,80.41949648163506,70.50997681900841
MENTAH,17.858597980905657,81.83431180182251,69.78596769399093
MENTAH,16.5599644229232,78.69250979821547,68.20089323629624
MENTAH,17.913620050308747,77.60394414080454,69.121156120731
MENTAH,18.343402940838512,78.88961973057093,70.14259557163126
MENTAH,17.421824572600467,79.74209226559222,70.59901318418896
MENTAH,17.587439861813312,79.68246928143923,71.05759293004736
MENTAH,19.353988323324874,83.03999642168422,69.27766184853421
MENTAH,15.628929277992047,68.6274287896425,60.409343869277194
MENTAH,15.975057327991047,68.05257111043944,60.400932016996066
MENTAH,15.598342484162986,67.07566966962091,59.85739568553786
MENTAH,15.115840635678744,64.98967424836634,58.13577382171619
MENTAH,14.343726581703004,65.17063273740533,55.687721693211564
MENTAH,14.857050343718152,65.80226323789492,58.53989868932475
MENTAH,15.406725859794967,69.31025168736636,61.15993244914171
MENTAH,15.598079262504745,68.1603722447593,60.503078257079196
MENTAH,15.62448026992866,69.7342853859835,61.85701662137048
MENTAH,15.588170981045543,67.08151706225895,61.17298471503367
MENTAH,18.64804750729402,80.7125803715953,67.21931797176316
MENTAH,15.638801495273876,66.79459109155492,59.816378382226574
MENTAH,14.096480885673747,62.193735980246196,52.94261908360145
MENTAH,14.595990038168702,62.78941424282089,53.28860147179313
MENTAH,15.181684300123898,64.56903682730162,54.265407834325856
MENTAH,12.993785252343079,65.28166668956456,53.66297745223916
MENTAH,13.654608065136587,62.851196393956954,52.83695900611499
MENTAH,14.274180172258747,64.23602317974262,53.81765858246238
MENTAH,14.022034900131892,65.11912310030775,54.676139003517115
